
(RL-torch) C:\Users\kator\OneDrive\ドキュメント\ResearchFloodit\excute file>python floodit-torch-learning.py
pygame 2.0.1 (SDL 2.0.14, Python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html



**************************************************  FloodIt  **************************************************
action_space      : Discrete(6)
observation_space : Box(0, 5, (1, 6, 6), uint8)
reward_range      : (-inf, inf)

cnn_out_size= 512
cnn_out_size= 512
Episode: 29800,  Episode-Step: 1,  Reward: -0.5
Episode: 29900,  Episode-Step: 2,  Reward: -0.17500000000000004
Episode: 30000,  Episode-Step: 4,  Reward: 1.891666666666667
Episode: 30100,  Episode-Step: 1,  Reward: -0.5
Episode: 30200,  Episode-Step: 1,  Reward: -0.5
Episode: 30300,  Episode-Step: 3,  Reward: 0.23333333333333328
Episode: 30400,  Episode-Step: 1,  Reward: -0.5
Episode: 30500,  Episode-Step: 1,  Reward: -0.5
Episode: 30600,  Episode-Step: 1,  Reward: -0.5
Episode: 30700,  Episode-Step: 1,  Reward: -0.5
Episode: 30800,  Episode-Step: 1,  Reward: -0.5
Episode: 30900,  Episode-Step: 1,  Reward: -0.5
Episode: 31000,  Episode-Step: 2,  Reward: -0.425
Episode: 31100,  Episode-Step: 1,  Reward: -0.5
Episode: 31200,  Episode-Step: 1,  Reward: -0.5
Episode: 31300,  Episode-Step: 1,  Reward: -0.5
Episode: 31400,  Episode-Step: 2,  Reward: -0.425
Episode: 31500,  Episode-Step: 2,  Reward: 1.9083333333333332
Episode: 31600,  Episode-Step: 3,  Reward: -0.26666666666666666
Episode: 31700,  Episode-Step: 1,  Reward: -0.5
Episode: 31800,  Episode-Step: 1,  Reward: -0.5
Episode: 31900,  Episode-Step: 1,  Reward: -0.5
Episode: 32000,  Episode-Step: 5,  Reward: 2.3000000000000003
Episode: 32100,  Episode-Step: 4,  Reward: 1.1416666666666666
Episode: 32200,  Episode-Step: 1,  Reward: -0.5
Episode: 32300,  Episode-Step: 2,  Reward: -0.3416666666666667
Episode: 32400,  Episode-Step: 1,  Reward: -0.5
Episode: 32500,  Episode-Step: 1,  Reward: -0.5
Episode: 32600,  Episode-Step: 1,  Reward: -0.5
Episode: 32700,  Episode-Step: 2,  Reward: 0.825
Episode: 32800,  Episode-Step: 1,  Reward: -0.5
Episode: 32900,  Episode-Step: 1,  Reward: -0.5
Episode: 33000,  Episode-Step: 1,  Reward: -0.5
Episode: 33100,  Episode-Step: 1,  Reward: -0.5
Episode: 33200,  Episode-Step: 2,  Reward: -0.425
Episode: 33300,  Episode-Step: 1,  Reward: -0.5
Episode: 33400,  Episode-Step: 1,  Reward: -0.5
Episode: 33500,  Episode-Step: 1,  Reward: -0.5
Episode: 33600,  Episode-Step: 2,  Reward: 1.2416666666666667
Episode: 33700,  Episode-Step: 1,  Reward: -0.5
Episode: 33800,  Episode-Step: 3,  Reward: 2.15
Episode: 33900,  Episode-Step: 1,  Reward: -0.5
Episode: 34000,  Episode-Step: 1,  Reward: -0.5
Episode: 34100,  Episode-Step: 1,  Reward: -0.5
Episode: 34200,  Episode-Step: 1,  Reward: -0.5
Episode: 34300,  Episode-Step: 1,  Reward: -0.5
Episode: 34400,  Episode-Step: 1,  Reward: -0.5
Episode: 34500,  Episode-Step: 1,  Reward: -0.5
